,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
196,Toyota,Platinum Etios,G,627100,1496.0,Petrol,45.0,16.78,88.74,21.256557157670265,26.0
197,Toyota,Platinum Etios,V,718600,1496.0,Petrol,45.0,16.78,88.74,32.25655715767027,26.0
198,Toyota,Platinum Etios,Gd,734700,1364.0,Diesel,45.0,23.59,67.048,21.256557157670265,26.0
199,Toyota,Platinum Etios,Vd,828600,1364.0,Diesel,45.0,23.59,67.048,32.25655715767027,26.0
200,Toyota,Platinum Etios,Vxd,888400,1364.0,Diesel,45.0,23.59,67.048,38.25655715767027,26.0
201,Toyota,Platinum Etios,Vx,778400,1496.0,Petrol,45.0,16.78,88.74,38.25655715767027,26.0
202,Toyota,Platinum Etios,Gx,689600,1496.0,Petrol,45.0,16.78,88.74,21.256557157670265,26.0
203,Toyota,Platinum Etios,Gxd,799600,1364.0,Diesel,45.0,23.59,67.048,32.25655715767027,26.0
204,Toyota,Platinum Etios,Vxd Limited Edition,913400,1364.0,Diesel,45.0,23.59,67.048,38.25655715767027,26.0
205,Toyota,Platinum Etios,Vx Limited Edition,803400,1496.0,Petrol,45.0,16.78,88.74,38.25655715767027,26.0
206,Toyota,Etios Cross,V,802000,1496.0,Petrol,45.0,16.78,88.74,31.712619706440428,26.0
207,Toyota,Etios Cross,G,650000,1197.0,Petrol,45.0,17.71,78.88,30.712619706440428,22.0
208,Toyota,Etios Cross,Vd,797500,1364.0,Diesel,45.0,23.59,67.048,31.712619706440428,26.0
209,Toyota,Etios Cross,Gd,766000,1364.0,Diesel,45.0,23.59,67.048,30.712619706440428,26.0
210,Toyota,Etios Cross,1.2 X Edition,668500,1197.0,Petrol,45.0,17.71,78.88,30.712619706440428,22.0
211,Toyota,Etios Cross,1.4 X Edition,816000,1364.0,Diesel,45.0,23.59,67.048,30.712619706440428,26.0
212,Mahindra,Verito Vibe,D2,657628,1461.0,Diesel,50.0,20.08,64.09,17.842776445824633,14.5
213,Mahindra,Verito Vibe,D4,685729,1461.0,Diesel,50.0,20.08,64.09,20.842776445824633,18.0
214,Mahindra,Verito Vibe,D6,750428,1461.0,Diesel,50.0,20.08,64.09,30.84277644582463,22.0
215,Fiat,Urban Cross,1.3 Multijet Active,677618,1248.0,Diesel,45.0,20.0,91.698,34.41280708175118,23.0
216,Fiat,Urban Cross,1.3 Multijet Dynamic,739074,1248.0,Diesel,45.0,20.0,91.698,35.91280708175118,22.0
217,Fiat,Urban Cross,1.4 T-Jet Emotion,977516,1368.0,Petrol,45.0,17.1,138.04,41.91280708175118,28.0
218,Fiat,Urban Cross,1.3 Multijet Emotion,810211,1248.0,Diesel,45.0,20.0,91.698,41.91280708175118,28.0
219,Toyota,Glanza,G Hybrid,721900,1197.0,Petrol,37.0,23.87,87.754,45.85845605748004,29.0
220,Toyota,Glanza,V,758200,1197.0,Petrol,37.0,21.01,80.852,50.85845605748004,29.0
221,Toyota,Glanza,G Cvt,829900,1197.0,Petrol,37.0,19.56,80.852,43.85845605748004,29.0
222,Toyota,Glanza,V Cvt,890200,1197.0,Petrol,37.0,19.56,80.852,50.85845605748004,29.0
223,Toyota,Glanza,G Mt,697900,1197.0,Petrol,37.0,19.56,80.852,43.85845605748004,29.0
224,Fiat,Avventura,Multijet Dynamic,796132,1248.0,Diesel,45.0,20.5,91.698,30.75619171590791,20.5
225,Fiat,Avventura,Multijet Active,711801,1248.0,Diesel,45.0,20.5,91.698,19.25619171590791,16.5
